                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4979,                 3.3221,                  2.891,                0.73595,                0.83082,                0.91589,                0.76973,                0.73471,                 1.1834,                 1.5975,             0.00018491,             0.00018491,             0.00018491
                      2,                0.54525,                 1.0011,                 1.3359,                0.70015,                0.82285,                0.87787,                0.82604,                0.38454,                 1.2929,                 1.1002,             0.00033359,             0.00033359,             0.00033359
                      3,                0.35823,                0.55568,                 1.0764,                0.99072,                0.97032,                0.99074,                0.96902,                 0.2606,                0.33634,                0.95622,             0.00044557,             0.00044557,             0.00044557
                      4,                0.27402,                0.38472,                0.97432,                0.97128,                0.96268,                0.98202,                0.97752,                0.19038,                0.33171,                 0.8792,             0.00039087,             0.00039087,             0.00039087
                      5,                0.21717,                0.30022,                0.92337,                0.98686,                0.97469,                0.99499,                0.99015,                0.18078,                0.23415,                0.86268,             0.00033582,             0.00033582,             0.00033582
                      6,                0.18605,                0.23987,                0.89851,                0.98271,                0.98518,                0.99046,                0.98529,                  0.165,                0.21194,                0.85699,             0.00028078,             0.00028078,             0.00028078
                      7,                0.15823,                0.20862,                0.87985,                0.98615,                0.97863,                0.99474,                0.98748,                0.14022,                0.19385,                0.85931,             0.00022574,             0.00022574,             0.00022574
                      8,                0.14311,                0.18049,                0.86948,                0.99254,                0.98185,                  0.995,                0.98614,                0.14923,                0.16192,                0.87552,             0.00017069,             0.00017069,             0.00017069
                      9,                0.12162,                0.16016,                0.85459,                0.99772,                0.99501,                  0.995,                0.99139,                0.11077,                0.12893,                0.82426,             0.00011565,             0.00011565,             0.00011565
                     10,                0.10414,                0.14081,                0.85231,                0.99273,                0.98595,                  0.995,                0.99306,                0.09053,                0.12629,                0.81888,             6.0604e-05,             6.0604e-05,             6.0604e-05
